"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"182","40368313","RED FLAME DINER","02/21/2019","A","Cycle Inspection / Initial Inspection",8
"183","40368318","MAGGIES PLACE","06/09/2018","A","Cycle Inspection / Initial Inspection",9
"184","40368338","BRADY'S BAR","05/17/2018","A","Cycle Inspection / Initial Inspection",13
"185","40368374","JIMMY'S CORNER","04/04/2018","A","Cycle Inspection / Initial Inspection",6
"186","40368526","FROST RESTAURANT","10/25/2018","A","Cycle Inspection / Initial Inspection",12
"187","40368552","SAMMY'S STEAKHOUSE","05/25/2018","A","Cycle Inspection / Initial Inspection",9
"188","40368555","IL CORTILE RESTAURANT","02/21/2019","A","Cycle Inspection / Re-inspection",12
"189","40368577","DENNY'S PUB","07/26/2018","A","Cycle Inspection / Initial Inspection",12
"190","40368581","MARIES CRISIS CAFE","11/07/2018","A","Cycle Inspection / Re-inspection",12
"191","40368632","NEW PARKWAY RESTAURANT","03/15/2018","A","Cycle Inspection / Initial Inspection",7
"192","40368725","CAFE RIAZOR","06/13/2018","A","Cycle Inspection / Initial Inspection",11
"193","40368752","RAOULS","01/23/2019","A","Cycle Inspection / Initial Inspection",13
"194","40368763","THE BROOK","01/18/2019","A","Cycle Inspection / Re-inspection",2
"195","40368801","MARBELLA RESTAURANT","05/10/2018","A","Cycle Inspection / Initial Inspection",12
"196","40368809","P.J.' S","02/02/2019","A","Cycle Inspection / Initial Inspection",12
"197","40368824","DOUBLES CLUB","04/04/2018","A","Cycle Inspection / Initial Inspection",13
"198","40368897","HATSUHANA RESTAURANT","12/27/2018","A","Cycle Inspection / Re-inspection",7
"199","40369012","VALENTINO'S PIZZA","03/06/2019","Z","Cycle Inspection / Reopening Inspection",7
"200","40369016","VIAND COFFEE SHOP","05/24/2018","A","Cycle Inspection / Initial Inspection",7
"201","40369017","PALM TOO","09/12/2018","A","Cycle Inspection / Initial Inspection",11
"202","40369051","STEVE'S COFFEE SHOP","04/02/2019","A","Cycle Inspection / Initial Inspection",12
"203","40369087","BLUE BAY RESTAURANT","12/20/2018","Z","Cycle Inspection / Re-inspection",36
"204","40369111","THE HYTES BAR","10/03/2018","A","Cycle Inspection / Initial Inspection",12
