"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"9276","41637941","KENNEDY CHICKEN &SANDWICHES","12/26/2018","B","Cycle Inspection / Re-inspection",17
"9277","41638021","SHANGHAI HEPING RESTAURANT","12/18/2018","Z","Cycle Inspection / Reopening Inspection",9
"9278","41638031","MAMAJUANA CAFE","01/17/2019",NA,"Cycle Inspection / Initial Inspection",12
"9279","41638043","DUNKIN' DONUTS, BASKIN ROBBINS","11/20/2018","A","Cycle Inspection / Initial Inspection",10
"9280","41638047","BESO RESTAURANT AND BAR","05/15/2018","A","Cycle Inspection / Initial Inspection",13
"9281","41638061","DUNKIN' DONUTS","05/08/2018","A","Cycle Inspection / Initial Inspection",7
"9282","41638069","DUNKIN' DONUTS","02/21/2019","A","Cycle Inspection / Initial Inspection",11
"9283","41638082","DUNKIN' DONUTS, BASKIN ROBBINS","08/06/2018","A","Cycle Inspection / Initial Inspection",13
"9284","41638085","AMUSED","09/05/2018","A","Cycle Inspection / Initial Inspection",12
"9285","41638086","DUNKIN' DONUTS, BASKIN ROBBINS","10/16/2018","A","Cycle Inspection / Initial Inspection",8
"9286","41638393","TOP HOPS BEER SHOP","02/07/2019","A","Cycle Inspection / Initial Inspection",12
"9287","41638429","STARBUCKS","04/04/2019","A","Cycle Inspection / Initial Inspection",10
"9288","41638524","SUBWAY","02/25/2019","A","Cycle Inspection / Initial Inspection",9
"9289","41638553","BRICIOLA","03/12/2019","A","Cycle Inspection / Initial Inspection",10
"9290","41638655","DUNKIN' DONUTS, BASKIN ROBBINS","05/04/2018","A","Cycle Inspection / Initial Inspection",7
"9291","41638850","QUECHUA NOSTRA","04/16/2018","A","Cycle Inspection / Initial Inspection",5
"9292","41638854","ANTONIO'S PIZZERIA","04/03/2019","A","Cycle Inspection / Initial Inspection",11
"9293","41638918","ANGELO'S PIZZERIA","06/19/2018","A","Cycle Inspection / Initial Inspection",8
"9294","41638961","765 FOOD MARKET","08/31/2018","B","Cycle Inspection / Re-inspection",27
"9295","41638974","HAPPY HOP'S KITCHEN","04/24/2018","A","Cycle Inspection / Initial Inspection",13
"9296","41638986","CRAVE SANDWICHES","06/07/2018","A","Cycle Inspection / Initial Inspection",7
"9297","41639035","LONG RIVER CHINESE RESTAURANT","03/19/2019","A","Cycle Inspection / Re-inspection",13
"9298","41639072","JOANNE TRATTORIA","01/17/2019","Z","Cycle Inspection / Re-inspection",46
"9299","41639084","LA CABANA PERUANA","03/19/2019","A","Cycle Inspection / Re-inspection",2
"9300","41639167","GOLDEN KRUST CARIBBEAN BAKERY & GRILL","01/31/2019","A","Cycle Inspection / Initial Inspection",9
"9301","41639187","NEW JIN BU RESTAURANT","02/15/2019","A","Cycle Inspection / Initial Inspection",2
"9302","41639191","CHINA TASTES","07/23/2018","A","Cycle Inspection / Initial Inspection",13
"9303","41639194","KEUR COUMBA RESTAURANT","03/05/2018","A","Cycle Inspection / Initial Inspection",8
"9304","41639326","ALIADA","11/20/2018","A","Cycle Inspection / Re-inspection",2
"9305","41639363","BOTTEGA RESTAURANT","04/09/2018","A","Cycle Inspection / Initial Inspection",11
"9306","41639470","SERAFINA","02/21/2019","A","Cycle Inspection / Re-inspection",13
"9307","41639473","SERAFINA","10/04/2018","A","Cycle Inspection / Initial Inspection",13
"9308","41639505","GIO'S PIZZA & RESTAURANT","03/27/2019","A","Cycle Inspection / Re-inspection",9
"9309","41639519","JUS FISHY","04/03/2019","Z","Cycle Inspection / Reopening Inspection",2
"9310","41639539","BIRYANI AND CHAT","03/13/2019","A","Cycle Inspection / Re-inspection",10
"9311","41639555","CONRAD NEW YORK MAIN KITCHEN","10/29/2018","A","Cycle Inspection / Initial Inspection",11
"9312","41639556","ATRIO","01/29/2019","A","Cycle Inspection / Re-inspection",11
"9313","41639573","CORNER SOCIAL","04/01/2019","A","Cycle Inspection / Initial Inspection",12
"9314","41639626","LUKE'S LOUNGE","01/28/2019","A","Cycle Inspection / Initial Inspection",5
"9315","41639734","VITAE","03/25/2019","A","Cycle Inspection / Re-inspection",13
"9316","41639772","AM THAI BISTRO","04/18/2018","A","Cycle Inspection / Initial Inspection",10
"9317","41639887","SIGNATURE CAFE AND BAR","08/22/2018","A","Cycle Inspection / Initial Inspection",7
"9318","41639964","THE little BEET TABLE","03/21/2019","A","Cycle Inspection / Re-inspection",10
"9319","41639970","VIVI BUBBLE TEA","04/02/2018","A","Cycle Inspection / Initial Inspection",12
"9320","41640011","PURE BISTRO","03/29/2019","A","Cycle Inspection / Initial Inspection",7
"9321","41640033","BYBLOS","03/13/2019","A","Cycle Inspection / Re-inspection",13
"9322","41640137","FRANKLIN HOTEL","12/13/2018","A","Cycle Inspection / Re-inspection",7
"9323","41640145","BAREBURGER","04/11/2019","A","Cycle Inspection / Re-inspection",2
"9324","41640238","HONG KONG KITCHEN","08/01/2018","A","Cycle Inspection / Initial Inspection",3
"9325","41640282","GYU-KAKU","10/22/2018","A","Cycle Inspection / Initial Inspection",9
"9326","41640400","KUMO SUSHI","02/26/2019","A","Cycle Inspection / Initial Inspection",13
"9327","41640535","BALDUCCI'S","11/08/2018","A","Cycle Inspection / Initial Inspection",5
"9328","41640556","COVE LOUNGE","10/02/2018","C","Cycle Inspection / Re-inspection",35
"9329","41640580","El BUEN SABOR","02/01/2019","B","Cycle Inspection / Re-inspection",18
"9330","41640625","TBA","05/31/2018","A","Cycle Inspection / Initial Inspection",9
"9331","41640757","GINA LA FORNARINA","03/26/2019","A","Cycle Inspection / Initial Inspection",8
"9332","41640776","ESMERALDA'S RESTAURANT","04/01/2019","A","Cycle Inspection / Initial Inspection",13
"9333","41640801","VILLAGE GRILL","02/28/2019","A","Cycle Inspection / Initial Inspection",9
"9334","41640818","RED OLIVE","04/16/2018","A","Cycle Inspection / Initial Inspection",13
"9335","41640824","RICURAS ECUADORIAN BAKERY","07/20/2018","A","Cycle Inspection / Initial Inspection",12
"9336","41640846","RANDOLPH BEER","05/09/2018","A","Cycle Inspection / Initial Inspection",12
"9337","41640858","EL PORTON BAR & MEXICAN RESTAURANT","03/28/2019","A","Cycle Inspection / Re-inspection",11
"9338","41640893","OSAKA SUSHI","02/27/2019","A","Cycle Inspection / Re-inspection",7
"9339","41640927","WOODROWS","02/26/2019","A","Cycle Inspection / Re-inspection",9
"9340","41640950","CHIPOTLE MEXICAN GRILL","05/30/2018","A","Cycle Inspection / Initial Inspection",7
"9341","41640977","SAL'S PIZZA","11/19/2018","A","Cycle Inspection / Initial Inspection",13
"9342","41640996","MAXINE ON THE BOULEVARD","11/20/2018","A","Cycle Inspection / Initial Inspection",4
"9343","41641008","PAPA JOHN'S","03/26/2019","A","Cycle Inspection / Initial Inspection",2
"9344","41641062","YO-BURGER","01/16/2019","A","Cycle Inspection / Initial Inspection",2
"9345","41641101","LA SIRENAS","02/05/2019","Z","Cycle Inspection / Re-inspection",23
"9346","41641108","LITTLE CAESARS","04/26/2018","A","Cycle Inspection / Initial Inspection",4
"9347","41641198","URBAN VEGAN KITCHEN","03/28/2019","A","Cycle Inspection / Initial Inspection",11
"9348","41641200","NEW SIN LEE RESTAURANT","03/07/2018","A","Cycle Inspection / Initial Inspection",9
"9349","41641202","CHEN YUAN CHINESE FOOD","12/27/2018","A","Cycle Inspection / Initial Inspection",10
"9350","41641204","CHINA GARDEN RESTAURANT","07/25/2018","A","Cycle Inspection / Initial Inspection",2
"9351","41641276","TABOONETTE","03/21/2019","A","Cycle Inspection / Initial Inspection",12
"9352","41641278","OLD COUNTRY BAGEL","03/19/2019","A","Cycle Inspection / Initial Inspection",10
"9353","41641302","JALOPY TAVERN","03/29/2019","A","Cycle Inspection / Re-inspection",13
"9354","41641305","TASTEE JERK","03/29/2019","Z","Cycle Inspection / Re-inspection",27
"9355","41641339","SMILE TO GO","01/11/2019","A","Cycle Inspection / Re-inspection",12
"9356","41641469","LITTLE COLLINS","10/15/2018","A","Cycle Inspection / Initial Inspection",10
"9357","41641590","GRILLED CHICKEN HOUSE","03/14/2019","A","Cycle Inspection / Re-inspection",7
"9358","41641604","IRVING FARM","04/18/2018","A","Cycle Inspection / Initial Inspection",9
"9359","41641614","AROMA ESPRESSO BAR","12/24/2018","A","Cycle Inspection / Re-inspection",9
"9360","41641619","HALE & HEARTY","12/28/2018","A","Cycle Inspection / Re-inspection",2
"9361","41641642","TASTY HAND-PULLED NOODLES","07/31/2018","B","Cycle Inspection / Re-inspection",19
"9362","41641668","PLUM TREE RESTAURANT","06/01/2018","A","Cycle Inspection / Initial Inspection",5
"9363","41641722","GOOD FRIENDS RESTAURANT","02/09/2019","A","Cycle Inspection / Initial Inspection",7
"9364","41641818","PANERA BREAD","08/31/2018","A","Cycle Inspection / Initial Inspection",7
"9365","41641837","JOE'S PIZZERIA RESTAURANT & DELI","07/26/2018","A","Cycle Inspection / Initial Inspection",11
"9366","41641855","TACOS Y QUESADILLAS MEXICO","03/04/2019","A","Cycle Inspection / Initial Inspection",6
"9367","41641875","SUSANO'S PIZZERIA & RESTAURANT","03/25/2019","A","Cycle Inspection / Re-inspection",7
"9368","41641934","GEORGETOWN CUPCAKE SOHO","06/04/2018","A","Cycle Inspection / Initial Inspection",10
"9369","41641957","SINGAS FAMOUS PIZZA","04/09/2019","A","Cycle Inspection / Initial Inspection",5
"9370","41642160","FAY DA BAKERY","12/26/2018","A","Cycle Inspection / Re-inspection",7
"9371","41642195","NBC","04/03/2019","A","Cycle Inspection / Initial Inspection",0
"9372","41642196","WINE ESCAPE","05/09/2018","A","Cycle Inspection / Initial Inspection",10
"9373","41642227","CROSBY PIZZA STOP","04/23/2018","A","Cycle Inspection / Initial Inspection",12
"9374","41642243","TANGRA MASALA","10/10/2018","A","Cycle Inspection / Initial Inspection",6
"9375","41642251","LITTLE CAESARS","12/04/2018","B","Cycle Inspection / Re-inspection",15
"9376","41642313","LA ROSA BAKERY","07/26/2018","A","Cycle Inspection / Initial Inspection",4
"9377","41642324","TRADESMAN","09/13/2018","A","Cycle Inspection / Re-inspection",8
"9378","41642333","242 CAFE BAKERY","12/04/2018","C","Cycle Inspection / Re-inspection",37
"9379","41642375","HARLEM FOOD BAR","10/17/2018","A","Cycle Inspection / Initial Inspection",12
"9380","41642422","STARBUCKS","05/07/2018","A","Cycle Inspection / Initial Inspection",4
"9381","41642539","EL SABROSO COFFEE SHOP ECUADORIAN CUISINE","03/25/2019","A","Cycle Inspection / Re-inspection",11
"9382","41642570","JOHN'S DELI","02/04/2019","A","Cycle Inspection / Initial Inspection",12
"9383","41642640","TIME WARNER EXECUTIVE DINING ROOM","05/10/2018","A","Cycle Inspection / Initial Inspection",10
"9384","41642682","CROWN FRIED CHICKEN","05/08/2018","A","Cycle Inspection / Initial Inspection",7
"9385","41642694","NUMERO 28","02/28/2019","A","Cycle Inspection / Re-inspection",8
"9386","41642704","DIPPIN' DOTS","06/13/2018","A","Cycle Inspection / Initial Inspection",2
"9387","41642708","SUNDAE SHOP & SNACKS","05/29/2018","A","Cycle Inspection / Initial Inspection",0
"9388","41642773","UNION SQUARE EVENTS","02/22/2019","A","Cycle Inspection / Initial Inspection",12
"9389","41642860","DELTA SKY CLUB","03/06/2019","A","Cycle Inspection / Initial Inspection",5
"9390","41642874","STARBUCKS","04/27/2018","A","Cycle Inspection / Initial Inspection",5
"9391","41642950","CHECKERS","08/16/2018","A","Cycle Inspection / Initial Inspection",10
"9392","41643045","ENJOY MY BAGELS","02/11/2019","A","Cycle Inspection / Initial Inspection",5
"9393","41643074","CASA ENRIQUE","01/17/2019","A","Cycle Inspection / Initial Inspection",11
"9394","41643108","KAI FENG FU DUMPLING HOUSE","06/06/2018","A","Cycle Inspection / Initial Inspection",7
"9395","41643117","JEAN CLAUDE FRENCH BISTRO","03/08/2019","A","Cycle Inspection / Re-inspection",7
"9396","41643120","YOPPARAI","03/28/2019","A","Cycle Inspection / Initial Inspection",12
"9397","41643160","HAAGEN- DAZS, BEER CART","05/07/2018","A","Cycle Inspection / Initial Inspection",2
"9398","41643314","CIBO  EXPRESS  GOURMET MARKET","03/07/2019","A","Cycle Inspection / Initial Inspection",2
"9399","41643362","GRAN ELECTRICA","10/03/2018","A","Cycle Inspection / Re-inspection",12
"9400","41643403","DON ANTONIO RESTAURANT","04/02/2018","A","Cycle Inspection / Initial Inspection",9
"9401","41643407","THE BROOKLYN STRATEGIST","05/23/2018","A","Cycle Inspection / Initial Inspection",12
"9402","41643510","POTBELLY SANDWICH WORKS","03/29/2019","A","Cycle Inspection / Initial Inspection",9
"9403","41643512","POTBELLY SANDWICH","03/07/2018","A","Cycle Inspection / Initial Inspection",12
"9404","41643548","BAREBURGER","08/27/2018","A","Cycle Inspection / Initial Inspection",10
"9405","41643561","JERUSALEM CAFE","06/01/2018","A","Cycle Inspection / Initial Inspection",13
"9406","41643576","ANGELO'S PIZZA","10/15/2018","A","Cycle Inspection / Re-inspection",9
"9407","41643622","PEPPINOS PIZZA","03/07/2019","A","Cycle Inspection / Initial Inspection",12
"9408","41643671","JING LUNG CHINESE RESTAURANT","01/26/2019","A","Cycle Inspection / Initial Inspection",7
"9409","41643705","ZEN FUSION CUISINE","02/27/2018","A","Cycle Inspection / Initial Inspection",12
"9410","41643753","THE WAYLAND","03/22/2018","A","Cycle Inspection / Re-inspection",11
"9411","41643816","ROCCO'S BRICK OVEN PIZZERIA","06/14/2018","A","Cycle Inspection / Initial Inspection",13
"9412","41643852","VSPOT","02/22/2019","Z","Cycle Inspection / Reopening Inspection",4
"9413","41643863","CATA","09/04/2018","A","Cycle Inspection / Re-inspection",13
"9414","41643866","DUNKIN' DONUTS","02/12/2019","A","Cycle Inspection / Initial Inspection",3
"9415","41643867","DUNKIN' DONUTS","03/27/2019","A","Cycle Inspection / Initial Inspection",2
"9416","41643870","DUNKIN' DONUTS, BASKIN ROBBINS","05/02/2018","A","Cycle Inspection / Initial Inspection",9
"9417","41644000","DEATH AVENUE BAR & GRIL","03/12/2019","A","Cycle Inspection / Initial Inspection",10
"9418","41644006","FULL CIRCLE BAR","12/28/2017","A","Cycle Inspection / Initial Inspection",5
"9419","41644027","THE KATI ROLL COMPANY","05/21/2018","A","Cycle Inspection / Initial Inspection",9
"9420","41644048","AMELIE","02/13/2019","A","Cycle Inspection / Initial Inspection",6
"9421","41644054","SUBWAY","04/02/2019","A","Cycle Inspection / Initial Inspection",3
"9422","41644068","THE LIGHTS OF BAKU","04/09/2019","A","Cycle Inspection / Initial Inspection",12
"9423","41644127","OLEANDR RESTAURANT","04/11/2019","A","Cycle Inspection / Initial Inspection",7
"9424","41644180","MANHATTAN TERRACE BAR","06/08/2018","A","Cycle Inspection / Initial Inspection",0
"9425","41644201","CAFE MARGOT PATISSERIE","09/10/2018","A","Cycle Inspection / Re-inspection",13
"9426","41644203","CHIQUI CAFE","02/11/2019","B","Cycle Inspection / Re-inspection",16
"9427","41644212","Rafele","12/11/2018","A","Cycle Inspection / Re-inspection",12
"9428","41644337","RARE VIEW ROOFTOP","09/27/2018","C","Cycle Inspection / Re-inspection",38
"9429","41644353","16 HANDLES","04/17/2018","A","Cycle Inspection / Initial Inspection",7
"9430","41644360","CAFE MOGADOR","03/15/2019","A","Cycle Inspection / Initial Inspection",13
"9431","41644382","ALMAYASS","03/28/2019","A","Cycle Inspection / Initial Inspection",11
"9432","41644384","WASABI RESTAURANT","01/10/2019","A","Cycle Inspection / Initial Inspection",13
"9433","41644418","BAGEL BIN","02/12/2019","A","Cycle Inspection / Initial Inspection",10
"9434","41644539","ST MAZIE","03/15/2019","A","Cycle Inspection / Initial Inspection",12
"9435","41644679","PIONEER RESTAURANT","03/05/2019","A","Cycle Inspection / Initial Inspection",6
"9436","41644901","OCEAN SIDE RESTAURANT","08/01/2018","A","Cycle Inspection / Initial Inspection",12
"9437","41644987","AMARONE RESTAURANT","12/04/2018","A","Cycle Inspection / Initial Inspection",13
"9438","41645119","MIKE'S PIZZA","12/05/2018","A","Cycle Inspection / Initial Inspection",2
"9439","41645205","KILO","03/28/2019","A","Cycle Inspection / Initial Inspection",10
"9440","41645211","HIROSHI JAPANESE RESTAURANT","09/12/2018","A","Cycle Inspection / Re-inspection",9
"9441","41645235","LUKE KELLYS","02/20/2019","A","Cycle Inspection / Initial Inspection",7
"9442","41645241","CHEUNG KHEI RESTAURANT","02/19/2019","A","Cycle Inspection / Initial Inspection",3
"9443","41645250","MANDARIN HOUSE","05/21/2018","A","Cycle Inspection / Initial Inspection",12
"9444","41645410","L AND Z BAKERY","01/22/2019","A","Cycle Inspection / Re-inspection",10
"9445","41645424","JUVENTUD SALUD Y VIDA (HERBALIFE)","03/11/2019","A","Cycle Inspection / Initial Inspection",12
"9446","41645425","NEW YORK BEER COMPANY","03/11/2019","A","Cycle Inspection / Re-inspection",13
"9447","41645426","LA NUEVA COLOMBIA BAKERY","12/05/2018","A","Cycle Inspection / Re-inspection",10
"9448","41645430","LITTLE ZELDA","05/18/2018","A","Cycle Inspection / Initial Inspection",9
"9449","41645448","BOCBOC CHICKEN DELICIOUS","05/14/2018","A","Cycle Inspection / Initial Inspection",12
"9450","41645463","SKYLARK","01/16/2019","A","Cycle Inspection / Initial Inspection",10
"9451","41645481","2 PALMITAS MEXICAN DELI","10/17/2018","B","Cycle Inspection / Re-inspection",17
"9452","41645519","NICK'S PIZZA","02/11/2019","B","Cycle Inspection / Re-inspection",26
"9453","41645543","HAVEN ROOFTOP / SANCTUARY HOTEL","05/16/2018","A","Cycle Inspection / Initial Inspection",4
"9454","41645548","ZIOTOTO RESTAURANTE & BAR","03/26/2019","A","Cycle Inspection / Initial Inspection",2
"9455","41645610","SUBWAY","02/25/2019","A","Cycle Inspection / Initial Inspection",4
"9456","41645644","THE RITZ-CARLTON HOTEL/AUDEN","04/10/2018","A","Cycle Inspection / Initial Inspection",9
"9457","41645645","THE BIG APPLE (RITZ CARLTON HOTEL EMPLOYEE CAFETERIA)","02/19/2019","A","Cycle Inspection / Re-inspection",5
"9458","41645651","THE RITZ-CARLTON PASTRY KITCHEN","05/14/2018","A","Cycle Inspection / Initial Inspection",5
"9459","41645673","69 PIZZERIA","01/22/2019","A","Cycle Inspection / Re-inspection",13
"9460","41645715","CHI DUMPLING HOUSE","04/05/2019","A","Cycle Inspection / Initial Inspection",2
"9461","41645852","HARLEM PUBLIC RESTAURANT","07/11/2018","A","Cycle Inspection / Re-inspection",6
"9462","41645944","INAKA","04/09/2018","A","Cycle Inspection / Initial Inspection",13
"9463","41646006","LA CAYE RESTAURANT","11/21/2018","A","Cycle Inspection / Initial Inspection",9
"9464","41646075","EGG","02/07/2019","A","Cycle Inspection / Initial Inspection",13
"9465","41646135","CLYDE FRAZIER'S WINE AND DINE","05/31/2018","A","Cycle Inspection / Initial Inspection",7
"9466","41646157","MEI JUNG MEI CHINESE RESTAURANT","04/26/2018","A","Cycle Inspection / Initial Inspection",7
"9467","41646166","MIKEY'S","12/11/2018","A","Cycle Inspection / Re-inspection",11
"9468","41646195","BAROLO EAST","04/04/2019","A","Cycle Inspection / Initial Inspection",12
"9469","41646198","CHUBBY BURGERS & CHICKEN","11/14/2018","A","Cycle Inspection / Initial Inspection",2
"9470","41646201","120 BAY CAFE","09/24/2018","A","Cycle Inspection / Re-inspection",13
"9471","41646302","EAST GARDEN","01/03/2019","B","Cycle Inspection / Re-inspection",16
"9472","41646313","SHISHA LOUNGE","04/03/2019","A","Cycle Inspection / Re-inspection",3
"9473","41646384","MOMOFUKU MILK BAR CG","04/01/2019","A","Cycle Inspection / Initial Inspection",7
"9474","41646486","THE BURGER BISTRO","02/28/2018","A","Cycle Inspection / Initial Inspection",9
"9475","41646498","GO GO CURRY","03/06/2017","A","Cycle Inspection / Initial Inspection",2
"9476","41646525","CEETAY","01/02/2019","A","Cycle Inspection / Re-inspection",0
"9477","41646610","MURETTE'S","12/08/2018","A","Cycle Inspection / Initial Inspection",4
"9478","41646655","BLUE","01/10/2019","A","Cycle Inspection / Re-inspection",12
"9479","41646786","LA ROLA RESTAURANT","12/21/2018","A","Cycle Inspection / Initial Inspection",11
"9480","41646811","EL PATRON NIGHTCLUB CABARET-RESTAURANT","07/29/2017","A","Cycle Inspection / Initial Inspection",9
"9481","41646824","IRIS TEA & BAKERY","02/22/2019","A","Cycle Inspection / Initial Inspection",10
"9482","41646872","ADMIRALS CLUB (CONC C)","08/28/2018","A","Cycle Inspection / Initial Inspection",11
"9483","41646903","GRAMERCY PARK BAR","04/25/2018","A","Cycle Inspection / Initial Inspection",12
"9484","41646919","LA PERRADA DE CHALO","03/11/2019","A","Cycle Inspection / Initial Inspection",4
"9485","41646934","BELLA'S PLACE","03/07/2019","A","Cycle Inspection / Initial Inspection",12
"9486","41646967","FAY DA BAKERY","05/22/2018","A","Cycle Inspection / Initial Inspection",2
"9487","41646976","JAHLOOKOVA","12/21/2018","A","Cycle Inspection / Initial Inspection",6
"9488","41646979","MERCI MARKET","03/21/2019","B","Cycle Inspection / Re-inspection",21
"9489","41647006","MEAT VEGGIES & PASTA RESTAURANT","01/28/2019","A","Cycle Inspection / Initial Inspection",13
"9490","41647039","MAX","10/02/2018","A","Cycle Inspection / Initial Inspection",3
"9491","41647129","STEPHANIE'S MEXICAN BAKERY","02/28/2018","A","Cycle Inspection / Initial Inspection",11
"9492","41647176","JAIYA THAI & ORIENTAL RESTAURANT","09/19/2018","B","Cycle Inspection / Re-inspection",22
"9493","41647183","XING XING CHINESE RESTAURANT","12/01/2018","A","Cycle Inspection / Initial Inspection",8
"9494","41647192","PACKARD  CAFE","11/20/2018","A","Cycle Inspection / Initial Inspection",11
"9495","41647210","SPRINGFIELD & LA BARI PIZZERIA","01/08/2019","A","Cycle Inspection / Re-inspection",2
"9496","41647241","JACK'S SLIDERS AND SUSHI","06/18/2018","A","Cycle Inspection / Initial Inspection",12
"9497","41647292","NEW MING FAT CHINESE RESTAURANT","01/08/2019","A","Cycle Inspection / Re-inspection",10
"9498","41647370","BAHARY FISH MARKET","03/12/2019","A","Cycle Inspection / Re-inspection",11
"9499","41647521","ROCKAWAY ROTI SHOP","12/03/2018","A","Cycle Inspection / Re-inspection",12
"9500","41647571","PEKING GARDEN","11/07/2018","A","Cycle Inspection / Initial Inspection",9
"9501","41647578","THE PAPER BOX","02/08/2018","A","Cycle Inspection / Initial Inspection",7
"9502","41647630","KHAN LOUNGE","12/06/2018","A","Cycle Inspection / Re-inspection",9
"9503","41647682","MICKEY SPILLANE'S HELL'S KITCHEN NYC","01/09/2019","A","Cycle Inspection / Initial Inspection",13
"9504","41647695","DUNKIN' DONUTS","05/14/2018","A","Cycle Inspection / Initial Inspection",9
"9505","41647741","THE STANDARD EAST VILLAGE","03/07/2018","A","Cycle Inspection / Initial Inspection",9
"9506","41647754","CORNER BISTRO","03/11/2019","A","Cycle Inspection / Re-inspection",12
"9507","41647764","PAN UGO BAKERY","04/10/2019","A","Cycle Inspection / Initial Inspection",7
"9508","41647844","PRIMROSE CAFE","06/07/2018","A","Cycle Inspection / Initial Inspection",10
"9509","41647851","SUPERSTAR FAMILY FUN CENTER INC","08/15/2018","A","Cycle Inspection / Initial Inspection",11
"9510","41647862","KING BARKA JAMAICAN & AMERICAN RESTAURANT","11/29/2018","A","Cycle Inspection / Initial Inspection",13
"9511","41647870","POST NO BILLS","04/18/2018","A","Cycle Inspection / Initial Inspection",10
"9512","41647897","WYTHE HOTEL BAR","02/28/2019","A","Cycle Inspection / Initial Inspection",2
"9513","41647899","REYNARDS","03/29/2019","A","Cycle Inspection / Re-inspection",2
"9514","41647939","INTERMEZZO","09/24/2018","A","Cycle Inspection / Initial Inspection",12
"9515","41647941","FRATELLI PIZZERIA","02/20/2019","A","Cycle Inspection / Re-inspection",12
"9516","41648023","TRAVEL TRADERS (MELITA PASTRIES)","05/22/2018","A","Cycle Inspection / Initial Inspection",11
"9517","41648183","PANERA BREAD","03/08/2019","A","Cycle Inspection / Initial Inspection",12
"9518","41648187","EL NUEVO SANDY RESTAURANT","12/21/2018","A","Cycle Inspection / Re-inspection",10
"9519","41648237","GONZALEZ Y GONZALEZ","09/26/2018","B","Cycle Inspection / Re-inspection",18
"9520","41648248","CANDLE CAFE WEST","10/09/2018","A","Cycle Inspection / Re-inspection",7
"9521","41648313","DUNKIN' DONUTS","08/02/2018","A","Cycle Inspection / Initial Inspection",2
"9522","41648318","KAFFE 1668","03/16/2018","A","Cycle Inspection / Initial Inspection",13
"9523","41648461","TROPIC POLLO","02/12/2019","B","Cycle Inspection / Re-inspection",19
"9524","41648523","LA VARA","03/18/2019",NA,"Cycle Inspection / Initial Inspection",9
"9525","41648643","STICKY'S FINGER JOINT #1","04/26/2018","A","Cycle Inspection / Initial Inspection",8
"9526","41648700","LITTLE SHEEP MONGOLIAN HOT POT","04/05/2019","Z","Cycle Inspection / Reopening Inspection",2
"9527","41649038","OCEAN VIEW CAFE","10/04/2018","A","Cycle Inspection / Initial Inspection",11
"9528","41649070","EMPIRE TACO","03/02/2019","A","Cycle Inspection / Initial Inspection",5
"9529","41649130","THE SMITH","03/26/2019","A","Cycle Inspection / Initial Inspection",12
"9530","41649154","LA COCINA II RESTAURANT","01/16/2019","A","Cycle Inspection / Initial Inspection",4
"9531","41649157","EBENEZER PIZZERIA RESTAURANT","02/14/2019","A","Cycle Inspection / Re-inspection",13
"9532","41649164","DONG KING","08/22/2018","A","Cycle Inspection / Initial Inspection",11
"9533","41649353","VIVIR EN ABUNDANCIA","02/05/2019","A","Cycle Inspection / Initial Inspection",11
"9534","41649356","DUNKIN' DONUTS, HUDSON NEWS","05/03/2018","A","Cycle Inspection / Initial Inspection",4
"9535","41649358","SALUD DIVINA/HERBALIFE","02/20/2019","A","Cycle Inspection / Initial Inspection",6
"9536","41649359","DUNKIN' DONUTS","08/06/2018","A","Cycle Inspection / Initial Inspection",10
"9537","41649377","DUNKIN' DONUTS, HUDSON NEWS","02/15/2019","A","Cycle Inspection / Initial Inspection",5
"9538","41649416","ADAYA AFRICAN AMERICAN RESTAURANT","11/01/2018","A","Cycle Inspection / Initial Inspection",12
"9539","41649471","PIZZA PRINCE","02/20/2019","A","Cycle Inspection / Initial Inspection",4
"9540","41649581","BABY OLIVE","03/27/2019","A","Cycle Inspection / Re-inspection",12
"9541","41649614","CHEZ MOI","01/15/2019","A","Cycle Inspection / Re-inspection",2
"9542","41649657","ABYSSINIA ETHIOPIAN RESTAURANT","01/29/2019","A","Cycle Inspection / Initial Inspection",7
"9543","41649766","A & S CATERERS","10/31/2018","A","Cycle Inspection / Initial Inspection",13
"9544","41650004","CUISINE BY CLAUDETTE","03/23/2019","A","Cycle Inspection / Initial Inspection",7
"9545","41650019","NEW WIN SHING","02/11/2019","Z","Cycle Inspection / Reopening Inspection",11
"9546","41650149","83 1/2","06/05/2018","A","Cycle Inspection / Initial Inspection",12
"9547","41650190","LE PAIN QUOTIDIEN","03/19/2019","A","Cycle Inspection / Initial Inspection",10
"9548","41650194","LUCEY'S LOUNGE","06/09/2018","A","Cycle Inspection / Initial Inspection",11
"9549","41650198","HINOMARU RAMEN","01/16/2019","A","Cycle Inspection / Re-inspection",13
"9550","41650270","WING HUA 508","08/15/2018","A","Cycle Inspection / Initial Inspection",12
"9551","41650342","BUTTERFIELD EXPRESS","12/27/2018","A","Cycle Inspection / Initial Inspection",10
"9552","41650406","GRILL 212","01/16/2019","A","Cycle Inspection / Re-inspection",7
"9553","41650425","NATHAN'S FAMOUS","09/10/2018","A","Cycle Inspection / Re-inspection",8
"9554","41650474","SUBWAY","02/19/2019","Z","Cycle Inspection / Reopening Inspection",0
"9555","41650549","LILY REDS","08/02/2018","A","Cycle Inspection / Initial Inspection",9
"9556","41650568","HARVEST CHINESE &THAI  CUISINE","10/29/2018","A","Cycle Inspection / Initial Inspection",10
