"","CAMIS","DBA","BUILDING","STREET","ADDRESS_Ext","lon","lat"
"2774",40931888,"EL PEQUENO COFFEE SHOP","8610","ROOSEVELT AVENUE","8610,ROOSEVELT AVENUE,New York, NY",-73.8799004,40.7477823
"2775",40931920,"BROADWAY DELI & CAFE","515","WEST   42 STREET","515,WEST   42 STREET,New York, NY",-73.9960013,40.7603037
"2776",40931927,"VIAND CAFE","2130","BROADWAY","2130,BROADWAY,New York, NY",-73.9810357,40.7806869
"2777",40931929,"FRANKIE & JOHNNIE'S STEAKHOUSE","32","WEST   37 STREET","32,WEST   37 STREET,New York, NY",-73.984917,40.7508297
"2778",40931972,"88 PALACE RESTAURANT","88","EAST BROADWAY","88,EAST BROADWAY,New York, NY",-73.9942284,40.7139708
"2779",40932233,"CELESTE","502","AMSTERDAM AVENUE","502,AMSTERDAM AVENUE,New York, NY",-73.9760929,40.7866992
"2780",40932307,"FIDDLESTICKS","5456","GREENWICH AVENUE","5456,GREENWICH AVENUE,New York, NY",-74.0011067,40.7365117
"2781",40932574,"NEW CHINESE GARDEN OF GUYANA","10910","LIBERTY AVENUE","10910,LIBERTY AVENUE,New York, NY",-73.8324571,40.6839898
"2782",40932664,"MIKE'S PLACE","4677","HYLAN BOULEVARD","4677,HYLAN BOULEVARD,New York, NY",-74.1624616,40.5291671
"2783",40932869,"ISTANBUL GRILL","310","WEST   14 STREET","310,WEST   14 STREET,New York, NY",-74.0033659,40.739875
"2784",40932933,"RAMBLING HOUSE","4292","KATONAH AVE","4292,KATONAH AVE,New York, NY",-73.8670844,40.8984987
"2785",40932950,"HOTEL CARLYLE EMPLOYEE CAFETERIA","35","EAST   76 STREET","35,EAST   76 STREET,New York, NY",-73.9631559,40.774416
"2786",40933080,"LUIGI'S PIZZA","10402","ATLANTIC AVENUE","10402,ATLANTIC AVENUE,New York, NY",-73.840793,40.6900619
"2787",40933229,"DE ISLANDS","8203","FLATLANDS AVENUE","8203,FLATLANDS AVENUE,New York, NY",-73.9118933,40.6367651
"2788",40933506,"GANNI'S PIZZERIA","652","MYRTLE AVENUE","652,MYRTLE AVENUE,New York, NY",-73.9578638,40.6942067
"2789",40933594,"KASSIM'S BAKERY & RESTAURANT","16928","JAMAICA AVENUE","16928,JAMAICA AVENUE,New York, NY",-73.7896744,40.7069526
"2790",40933601,"Raise New York","416","3 AVENUE","416,3 AVENUE,New York, NY",-73.980448,40.742882
"2791",40933602,"PIZZA PETE'S","528","COLUMBUS AVENUE","528,COLUMBUS AVENUE,New York, NY",-73.9725922,40.7862402
"2792",40933757,"THE WORLD BAR","845","UNITED NATIONS PLAZA","845,UNITED NATIONS PLAZA,New York, NY",-73.9676966,40.7525229
"2793",40933911,"MILA CAFE","694","COLUMBUS AVENUE","694,COLUMBUS AVENUE,New York, NY",-73.9689253,40.7914849
"2794",40933963,"CAFFE BACIO","1223","3 AVENUE","1223,3 AVENUE,New York, NY",-73.9610279,40.7687251
"2795",40934037,"JIKJI CAFE","JFK INT'L","AIRPORT","JFK INT'L,AIRPORT,New York, NY",-73.7781391,40.6413111
"2796",40934160,"DUNKIN' DONUTS","901","HUGUENOT AVENUE","901,HUGUENOT AVENUE,New York, NY",-74.1916553,40.5324978
"2797",40934297,"FINANCIER PATISSERIE","62","STONE STREET","62,STONE STREET,New York, NY",-74.0098603,40.7045022
"2798",40934594,"POPEYES LOUISIANA KITCHEN","360","BAYCHESTER AVENUE","360,BAYCHESTER AVENUE,New York, NY",-73.8311316,40.8685864
"2799",40935269,"TULCINGO RESTAURANT","665","10 AVENUE","665,10 AVENUE,New York, NY",-73.9935458,40.7627554
"2800",40935550,"SIMPLY NATURAL","482","WEST   43 STREET","482,WEST   43 STREET,New York, NY",-73.9945849,40.7599669
"2801",40935583,"FRIED FRANK CAFETERIA","1","NEW YORK PLAZA","1,NEW YORK PLAZA,New York, NY",-74.0118801,40.7020841
"2802",40935628,"THE MERMAID INN","96","2 AVENUE","96,2 AVENUE,New York, NY",-73.9884895,40.7270204
"2803",40936004,"MOM'S BAKERY","2425","GRAND CONCOURSE","2425,GRAND CONCOURSE,New York, NY",-73.8984585,40.8609155
"2804",40936053,"YEH'S BAKERY","5725","MAIN STREET","5725,MAIN STREET,New York, NY",-73.8257393,40.7457444
"2805",40936059,"BENI'S RESTAURANT & BAR","12920","LIBERTY AVENUE","12920,LIBERTY AVENUE,New York, NY",-73.815453,40.689328
"2806",40936347,"SMITH'S TAVERN","440","5 AVENUE","440,5 AVENUE,New York, NY",-73.9825808,40.7516639
"2807",40936363,"P. J. LEAHY'S BAR & GRILL","5002","VERNON BOULEVARD","5002,VERNON BOULEVARD,New York, NY",-73.9543666,40.7426623
"2808",40936610,"JACK DEMSEY'S PUB","36","WEST   33 STREET","36,WEST   33 STREET,New York, NY",-73.9869629,40.7483168
"2809",40936721,"EL PAISA BAR","8705","NORTHERN BOULEVARD","8705,NORTHERN BOULEVARD,New York, NY",-73.8804698,40.7562254
"2810",40936803,"A. CHURRASQUEIRA RESTAURANT","9529","SUTPHIN BOULEVARD","9529,SUTPHIN BOULEVARD,New York, NY",-73.8057662,40.697774
"2811",40936973,"RANDOM HOUSE","1745","BROADWAY","1745,BROADWAY,New York, NY",-73.9825376,40.7651289
"2812",40937349,"JAKE'S SALOON","875","10 AVENUE","875,10 AVENUE,New York, NY",-73.9886967,40.7693631
"2813",40937799,"ESTRELLA BAR & RESTAURANT","1470","JEROME AVENUE","1470,JEROME AVENUE,New York, NY",-73.9164774,40.8414854
"2814",40937824,"CAFE ALICE","5","EAST   47 STREET","5,EAST   47 STREET,New York, NY",-73.9777629,40.7565619
"2815",40937978,"TREMONT EAST DINER","3007","EAST TREMONT AVENUE","3007,EAST TREMONT AVENUE,New York, NY",-73.8371968,40.8402279
"2816",40938384,"MOCA BAR & LOUNGE","2210","8 AVENUE","2210,8 AVENUE,New York, NY",-73.9535474,40.8063239
"2817",40938424,"KING'S CHEF","13348","WHITESTONE EXPRESSWAY","13348,WHITESTONE EXPRESSWAY,New York, NY",-73.8358183,40.7689966
"2818",40938813,"PIE","124","4 AVENUE","124,4 AVENUE,New York, NY",-73.98117,40.680784
"2819",40938943,"STARBUCKS COFFEE # 7851","1","PENN PLAZA","1,PENN PLAZA,New York, NY",-73.9922255,40.7512148
"2820",40938945,"STARBUCKS","286","1 AVENUE","286,1 AVENUE,New York, NY",-73.9808002,40.7329583
"2821",40938961,"CIELO","18","LITTLE WEST 12 STREET","18,LITTLE WEST 12 STREET,New York, NY",-74.0070218,40.7397342
"2822",40939208,"SUGARCANE","238","FLATBUSH AVENUE","238,FLATBUSH AVENUE,New York, NY",-73.9750592,40.680283
"2823",40939317,"PITA PAN","167","7 AVENUE","167,7 AVENUE,New York, NY",-73.9970203,40.7418386
"2824",40939600,"BANQUET KITCHEN (MARRIOTT)","85","WEST STREET","85,WEST STREET,New York, NY",-73.9740771,40.7863884
"2825",40939686,"KATRA","217","BOWERY","217,BOWERY,New York, NY",-73.9931265,40.7216929
"2826",40939817,"DUNKIN' DONUTS, BASKIN ROBBINS","6402","7 AVENUE","6402,7 AVENUE,New York, NY",-73.9900696,40.7517748
"2827",40940269,"STARBUCKS","55","LIBERTY STREET","55,LIBERTY STREET,New York, NY",-74.009407,40.7088048
"2828",40940279,"STARBUCKS","2140","BROADWAY","2140,BROADWAY,New York, NY",-73.9809901,40.7810558
"2829",40940283,"STARBUCKS #7860","725","5 AVENUE","725,5 AVENUE,New York, NY",-73.97387,40.762457
"2830",40940996,"DOMINO'S","9045","CORONA AVENUE","9045,CORONA AVENUE,New York, NY",-73.8742417,40.7423394
